P_ID,T,Neutral_Correct,Neutral_Incorrect,Neutral_error,Incongruent_Correct,Incongruent_Incorrect,Incongruent_error,Neutral_Avg_RT,Incongruent_Avg_RT,Neutral_Correct_Avg_RT,Neutral_Incorrect_Avg_RT,Incongruent_Correct_Avg_RT,Incongruent_Incorrect_Avg_RT
1,0,32,4,0.111111111,33,3,0.083333333,891.2352941,1002.212121,887.0333333,922.75,995.1333333,1073
2,0,35,1,0.027777778,32,4,0.111111111,1089.542857,1241.588235,1077.294118,1506,1218.866667,1436.75
3,0,34,2,0.055555556,36,0,0,988.2058824,950.09375,973.21875,1228,950.09375,nan
4,0,29,7,0.194444444,27,9,0.25,835.3823529,973.7272727,881.8518519,656.1428571,1048.08,646.1111111
5,0,33,3,0.083333333,34,2,0.055555556,1454.71875,1672.352941,1426.774194,52.33333333,1683.484848,652.5
6,0,35,1,0.027777778,30,6,0.166666667,1237.911765,1420.848485,1225.757576,1639,1455.75,1055.666667
7,0,35,1,0.027777778,31,5,0.138888889,1611.588235,1870.575758,1580,2654,1762.448276,995
8,0,29,7,0.194444444,23,13,0.361111111,1775.588235,1496.388889,1843.678571,1136.857143,2093.454545,550.6153846
9,0,33,3,0.083333333,36,0,0,1191.272727,1442.941176,1192.875,464,1442.941176,nan
10,0,36,0,0,34,2,0.055555556,1392.057143,1681,1392.057143,nan,1717.441176,1061.5
11,0,33,3,0.083333333,28,8,0.222222222,1558.088235,1566.257143,1493.59375,819,1544.851852,1703
12,0,35,1,0.027777778,35,1,0.027777778,911.65625,1209.914286,918.8064516,690,1195.823529,0
13,0,33,3,0.083333333,26,10,0.277777778,1061.088235,1291.323529,1068.064516,989,1254.88,1253.3
14,0,36,0,0,28,8,0.222222222,1510.363636,1616.909091,1510.363636,nan,1630.592593,820.25
15,0,35,1,0.027777778,33,3,0.083333333,1180.147059,1441.285714,1182.878788,1090,1373.322581,1153.666667
16,0,32,4,0.111111111,31,5,0.138888889,1464.451613,1654.771429,1460.333333,397,1548.413793,1620.8
17,0,35,1,0.027777778,29,7,0.194444444,838.6060606,913.2857143,834.4375,972,953.1481481,824.8571429
18,0,33,3,0.083333333,33,3,0.083333333,1084.941176,1277.470588,1117.322581,750.3333333,1295.709677,1089
19,0,31,5,0.138888889,32,4,0.111111111,1266.121212,1829.848485,1306.103448,336.8,1842.16129,867
20,0,28,8,0.222222222,29,7,0.194444444,1793.151515,1916.46875,1852.037037,1146.125,1943.678571,986.2857143
21,0,35,1,0.027777778,35,1,0.027777778,1166.911765,1293.714286,1153.606061,1606,1289.441176,1439
22,0,36,0,0,36,0,0,849.5588235,937.4571429,849.5588235,nan,937.4571429,nan
23,0,34,2,0.055555556,32,4,0.111111111,1364.484848,1352.088235,1364.484848,237.5,1382.354839,814.25
24,0,35,1,0.027777778,35,1,0.027777778,1177.542857,1327.088235,1172.823529,1338,1326.757576,1338
25,0,33,3,0.083333333,28,8,0.222222222,1117.941176,1344.771429,1123.935484,1056,1239.307692,1588.375
26,0,36,0,0,31,5,0.138888889,1486.735294,1697.764706,1486.735294,nan,1706.275862,1648.4
27,0,35,1,0.027777778,36,0,0,1055.117647,1259.823529,1040.454545,1539,1259.823529,nan
28,0,34,2,0.055555556,36,0,0,1493.264706,1734.617647,1485.818182,1147.5,1734.617647,nan
29,0,35,1,0.027777778,35,1,0.027777778,1150.606061,1288.542857,1128.03125,0,1285.588235,1389
30,0,36,0,0,36,0,0,1063.371429,1257.588235,1063.371429,nan,1257.588235,nan
31,0,35,1,0.027777778,31,5,0.138888889,1121.771429,1200.882353,1131.529412,790,1230.241379,1030.6
