P_ID,T_x,Flank_Congruent_Correct,Flank_Congruent_Incorrect,Flank_Congruent_error,Flank_Incongruent_Correct,Flank_Incongruent_Incorrect,Flank_Incongruent_error,Flank_Congruent_Correct_Avg_RT,Flank_Congruent_Incorrect_Avg_RT,Flank_Incongruent_Correct_Avg_RT,Flank_Incongruent_Incorrect_Avg_RT,Flank_Congruent_RT,Flank_Incongruent_RT,T_y,Flank_Switch_RT,Flank_Stay_RT,Flank_Switch_RT_corr,Flank_Stay_RT_corr,Flank_Accuracy_Stay,Flank_Accuracy_Switch
1,0,20,0,0,18,2,0.1,480,,555.4,509.7,457,532.6,0,817,635.15,831.2,658,0.714285714,0.666666667
2,0,19,0,0,19,1,0.05,576.3,,583.7,620.7,562.2,560.65,0,675.25,591.15,731.4,622.95,0.857142857,0.75
3,0,20,0,0,19,1,0.05,396,,427.4,264.3,383.1,411.65,0,649.6,523.9,682,535.65,0.857142857,0.75
4,0,18,2,0.1,20,0,0,533.9,401.3,601.6,,497.7,580.75,0,666.9,694.3,707.1,731.3,0.964285714,0.75
5,0,18,2,0.1,18,2,0.1,901.2,1016.65,1040.75,929.05,878.3,1018,0,1354.35,1182.2,1425.85,1259.45,0.714285714,0.833333333
6,0,17,3,0.15,16,4,0.2,569.8,515.2,559.9,429.65,540.2,533.45,0,606.65,603.7,594.1,576.6,0.571428571,0.5
7,0,17,2,0.105263158,18,2,0.1,1964.85,1154.6,1939.4,3528.05,2066.4,1975.65,0,1660.05,1558.5,1732.35,1581.45,0.642857143,0.333333333
9,0,15,5,0.25,16,4,0.2,591.2,585.2,581.6,563.3,564.4,554.65,0,699.4,708.1,731.4,705.5,0.785714286,0.833333333
10,0,19,1,0.05,20,0,0,897.8,838.6,966.8,,868.9,976.75,0,1041.8,993.9,1063.1,1040.9,0.857142857,0.916666667
11,0,18,2,0.1,10,8,0.444444444,633.1,316.05,558.3,541.5,628.6,546.65,0,677.2,746.5,758.1,749.8,0.821428571,0.5
12,0,20,0,0,18,2,0.1,861.75,,731.4,500.25,845.45,688.55,0,724,625.5,798,652.25,0.857142857,0.833333333
13,0,20,0,0,19,1,0.05,567.1,,591.1,685.9,544.4,591.95,0,625.2,607.25,664.7,624.9,0.928571429,0.75
