"ID","Age_Frac","DG_UG_RT_Diff_log","Session","Online","UG_Offer_Accept","it_P6","lr_P6","eg_P6","w_P6","st_P6","repst_P6","w_lo","w_hi","w_diff","Perc_Delay","Corr_r_Exp_Delay","Corr_int_Exp_Delay","Corr_r_Exp_Reward","Corr_int_Exp_Reward","School","Gender","T_Vocab","T_Matrix","Age_Frac_Imp","Corsi_WM_Span","AXCPT_t","CogFlex_t","SSRT","FlankerSwitch_t","FlankerInhib_t","Stroop_t","OneBack_WM_t","TwoBack_WM_t","Flank_Cong_Cost_t","Flank_Incon_Cost_t","SES_inv_z","DG_UG_Diff_z","DG_Coins_Given_z","UG_Coins_Given_z","DG_RT_log","UG_RT_log","UG_Decision_RT_log","TD_AvgRT_log"
1,12.44444444,NA,0,0,0,0.619786861,0.437226906,0.419932105,0.425787915,-0.177438966,-0.709067003,0.397752097,0.519318887,0.12156679,11.11111111,-1.114,2.954,0.498,0.824999999999998,"Trevor Roberts School","M",62,66,12.44444444,7,-0.69626033,0.52402228,-0.7986784,0.035288543,-0.30361754,-0.81804502,0.95833331,0.85119045,-1.59496066154516,-0.965298363301635,0.226732272210054,0.149310244316598,-0.0070589880824997,0.325562257348941,-1.14167177812856,-0.49912891156022,-1.7556140225917,-6.6091113838838
1,12.71388889,NA,1,0,0,0.485094982,0.615672925,0.532913611,0.699567002,-0.344481723,-0.047430309,0.698605764,0.516724483,-0.181881282,33.33333333,-0.0811428571428571,2.564,-0.518,0.210000000000001,"Trevor Roberts School","M",40,71,12.71388889,7,-0.44495177,0.12808843,-0.14804985,0.18472126,0.32162109,0.35897309,0.92261904,0.39285713,-0.925477449401778,-0.933016167997608,0.226732272210054,-0.667504621650672,0.804724641404971,0.325562257348941,-0.329063910470416,-0.300633553266636,-0.896765346142981,-6.43810714206152
4,11.83888889,NA,0,0,1,0.804931949,0.698279453,0.486952212,0.528113843,-0.435024954,-0.862133573,0.586406541,0.443931417,-0.142475124,11.11111111,-1.26628571428571,3.38866666666667,0.1095,4.27,"Trevor Roberts School","F",55,50,11.83888889,5,0.43176001,1.1524714,0.028908417,0.24271375,0.56363714,-0.013836659,0.95833331,0.88095242,-0.576215707601962,-1.46430298422718,-0.587074633430099,0.149310244316598,-0.0070589880824997,0.325562257348941,-0.689473775360916,0.187707463183747,-1.2706028866237,-7.00129919440494
4,12.05277778,0.263717560960256,1,0,1,1.682977546,0.89251716,0.575891066,0.813526923,0.020954893,-0.384510538,0.684714026,0.77086744,0.086153414,5.555555556,-0.406,4.98086423526667,0,-4.285,"Trevor Roberts School","F",59,56,12.05277778,6,0.021285813,0.054429129,-0.82912445,0.71670264,0.18590266,-0.33702955,0.72619045,0.88095242,0.212683064687765,-0.974938013362034,-0.587074633430099,-0.667504621650672,-0.0070589880824997,-1.69292373821449,-0.698963566047085,-1.0223995389721,-2.57154295644755,-7.99652297191026
5,7.611111111,NA,0,0,0,0.880334336,0.75515442,0.530449478,0.770191549,-0.589862289,-0.083493656,0.596198059,0.728795531,0.132597472,55.55555556,-0.938,6.14133333333333,1.1315,-3.235,"Trevor Roberts School","M",66,55,7.611111111,4,-0.43376431,-1.0933236,-1.5001835,0.52575868,-0.14000142,-0.20542419,0.60714287,-0.023809522,0.805891766630598,0.64169276396088,1.04053917785021,0.966125110283867,-0.81884261756997,0.325562257348941,-0.816470396591944,-0.509910919751798,-0.992881334035868,-7.90148019115554
5,7.827777778,2.52216358170248,1,0,1,0.409825854,0.499237962,0.51139577,0.629592973,-0.672821601,-0.27613709,0.549945241,0.588954005,0.039008764,88.88888889,1.27342857142857,-1.892,-0.616,4.34,"Trevor Roberts School","M",66,64,7.827777778,4,0.39558858,-0.2653816,-0.70781165,-0.5729717,-0.74660373,-0.44831339,0.58333331,0.083333336,-1.59496066154516,0.200540527801456,1.04053917785021,0.149310244316598,-0.0070589880824997,0.325562257348941,-1.04239460866988,-1.07031079082802,-2.1797392629952,-6.79761210283705
8,6.747222222,NA,0,0,0,0.651550591,0.764536677,0.577140994,0.582382692,0.588800097,0.396508511,0.524378991,0.552532853,0.028153862,27.77777778,0.482,-5,0,5,"Trevor Roberts School","M",66,61,6.747222222,4,-0.61493778,-0.97204232,-1.489266,0.18472126,-0.47577065,1.0833558,0.88690472,0.5,-0.113436937480877,0.754784304929573,0.226732272210054,-0.667504621650672,0.804724641404971,0.325562257348941,-0.352767319107715,-1.11486052063105,-2.56687058763943,-6.43810714206152
8,6.952777778,NA,1,0,1,0.563162541,0.299826753,0.378695025,0.430494498,0.247020863,0.520969038,0.613518854,0.332382463,-0.281136391,0,-2.28571428571429,9.66666666666667,0,-5,"Trevor Roberts School","M",78,45,6.952777778,5,-0.23740724,-0.43639031,-0.91425878,1.0664139,-0.12376183,1.2831836,0.77380955,0.29761904,1.60318920675161,0.604492824247514,0.226732272210054,1.78293997625114,-1.63062624705744,0.325562257348941,-1.40540230281515,-1.35984037690613,-2.0370558251834,-7.20121474809142
15,10.6,-0.390995852148836,0,0,0,0.553741721,0.489282374,0.530106537,0.448529022,-0.303803053,-1.62966066,0.490651938,0.45449144,-0.036160498,72.22222222,-0.736,5.446,1.1665,-3.515,"Trevor Roberts School","M",55,62,10.6,6,-0.59790361,-0.13339992,0.016326882,-0.67934048,-0.24674702,0.085988529,0.83333331,0.83333331,-0.925477449401778,-0.30504831557546,0.226732272210054,-0.667504621650672,0.804724641404971,0.325562257348941,-0.418600679504151,-1.09804069667386,-2.56687058763943,-7.69142848624145
15,10.85277778,NA,1,0,0,0.560021188,0.400008402,0.458343557,0.508016348,0.154834515,-0.791103884,0.492307937,0.515233537,0.0229256,100,2.348,-7.228,-0.0569999999999999,4.44,"Trevor Roberts School","M",59,77,10.85277778,6,-0.80452991,0.60608149,0.92464268,-0.67934048,-0.26113316,0.83778346,0.91666669,0.88095242,-1.7070946194328,-0.680902828351654,0.226732272210054,0.149310244316598,-0.0070589880824997,0.325562257348941,-0.73923528459354,-0.710214978971318,-1.6963492844234,-7.12635518997859
