ID,Session,Online,DG_DataRows,DG_Coins_Kept,DG_Coins_Given,DG_RT,OS,UG_DataRows,UG_Accept,UG_Offer_Accept,UG_Coins_Given,UG_Coins_Kept,UG_Decision_RT,UG_RT,UG_Attempts,DG_UG_Diff,DG_UG_RT_Diff,UG_Total_RT,it_P6,lr_P6,eg_P6,w_P6,st_P6,repst_P6,it,lr,eg,w_lo,w_hi,st,repst,w_diff,tot_delay,tot_delay_perc,AvgRT,RT_STD,AvgRT_3SD,AvgdelayRT,Exp_delay_trials,Exp_delay_avg_rating,Exp_delay_unique_ratings,Exp_delay_auc,Exp_reward_trials,Exp_reward_avg_rating,Exp_reward_unique_ratings,Exp_reward_auc,corr_r_exp_delay,corr_int_exp_delay,corr_rsq_exp_delay,corr_r_exp_reward,corr_int_exp_reward,corr_rsq_exp_reward,School,Gender,Group,Online_y,Age_Frac,Age_YrsMths,Train_ID,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Training_Version,Group_Name,Train_Coef,SES,ComboEdu,ComboEmploy,Raw_Vocab,T_Vocab,Raw_Matrix,T_Matrix,T_ScoreSum,FSIQ-2,Perc_Rank,Age_Frac_Imp,corsi_max_wm_t,PBI_t,cf_switchrt_t,cogflex_t,REzssrtnr_t,REflankerswitch_t,REflankerinh_t,stroop_t,dprimeONEBACK_t,dprimeTWOBACK_t,english_scores,maths_scores,total_scores,time
1,0,0,6,4,2,3.132,WindowsLaptop,7,No,0,3,3,,1.647285714,,1,-1.484714286,,0.619786861,0.437226906,0.419932105,0.425787915,-0.177438966,-0.709067003,0.625121658,0.442486236,0.420558179,0.397752097,0.519318887,-0.177359427,-0.704025776,0.12156679,2,11.11111111,1066.5,1445.9791,741.8235294,3688,6,4.055,6,1.9785,4,8.315,4,2.4745,-1.114,2.954,0.964869614,0.498,0.825,0.968444071,Trevor Roberts School,M,1,0,12.44444444,"12,5",13,7,17,3,15.78947368,2,Experimental,-5.397101039,1.5,2,1,38,62,24,66,128,124,95,12.444445,7,-0.69626033,176.28107,0.52402228,-0.7986784,0.035288543,-0.30361754,-0.81804502,0.95833331,0.85119045,119,127,123,-349
1,1,0,6,3,3,1.389666667,WindowsLaptop,7,No,0,3,3,,1.350714286,,0,-0.038952381,,0.485094982,0.615672925,0.532913611,0.699567002,-0.344481723,-0.047430309,0.471803966,0.618155719,0.547742037,0.698605764,0.516724483,-0.327302542,-0.038886444,-0.181881282,6,33.33333333,625.2222222,504.7899453,625.2222222,956.6666667,6,7.28,5,3.763,4,2.62,4,0.793,-0.081142857,2.564,0.00872002,-0.518,0.21,0.970921986,Trevor Roberts School,M,1,0,12.71388889,"12,8",13,7,17,3,15.78947368,2,Experimental,-5.397101039,1.5,2,1,25,40,25,71,111,109,73,12.444445,,-0.44495177,171.40527,0.12808843,-0.14804985,0.18472126,0.32162109,0.35897309,0.92261904,0.39285713,119,137,128,-31
1,2,1,,6,0,2.127065,Win32,,No,0,,,0.43567,,1,,,0.43567,,,,,,,,,,,,,,,9,50,1.52418,2.871872683,0.884651471,2.373951667,6,7.98828125,6,4.09375,4,8.935546875,4,2.680989583,-1.244419643,7.34375,0.855538296,0.302734375,2.421875,0.863328742,Trevor Roberts School,M,1,0,14.21944444,"14,2",13,7,17,3,15.78947368,2,Experimental,-5.397101039,1.5,2,1,,,21,54,,,,12.444445,7,0.41962975,126.85553,0.51108128,2.0676486,,,,,,,,,
2,0,0,6,3,3,1.379166667,WindowsLaptop,7,No,0,4,2,,0.801142857,,1,-0.57802381,,,,,,,,,,,,,,,,2,11.11111111,1597.666667,1271.742852,1597.666667,2025.5,6,4.883333333,6,2.381,4,7.4925,4,2.2505,-1.148,3.901333333,0.938481989,0.8165,-1.59,0.988931722,Trevor Roberts School,M,2,0,9.825,"9,9",23,8,29,9,29.03225806,2,Control,-2.657759774,1,1,1,35,66,21,60,126,123,94,9.8249998,5,0.2978349,253.77271,-0.31709272,0.38258979,0.089717135,0.17556356,0.072720975,0.95833331,0.84523809,127,130,128.5,-349
2,1,0,6,4,2,1.130833333,WindowsLaptop,7,No,0,3,3,,1.939714286,,1,0.808880952,,,,,,,,,,,,,,,,4,22.22222222,1673.388889,933.5103981,1673.388889,1919.75,6,8.61,6,4.4105,4,4.6325,4,1.353,0.218857143,2.844,0.165382144,-0.6615,2.94,0.940645161,Trevor Roberts School,M,2,0,10.05,"10,0",23,8,29,9,29.03225806,2,Control,-2.657759774,1,1,1,32,59,21,60,119,117,87,9.8249998,,0.89959246,208.85455,-1.3011233,-0.6758827,-0.18367064,0.26160699,-0.39019012,,0.6785714,116,112,114,-31
2,2,1,,3,3,6.282865,Win32,,Yes,1,,,4.267765,,1,,,4.267765,,,,,,,,,,,,,,,18,100,0.790497222,0.797851936,0.790497222,0.790497222,6,8.444928816,6,4.224778778,4,9.208668325,3,2.788058502,-0.554653647,5.38621658,0.94200756,0.35826336,2.417351525,0.891322934,Trevor Roberts School,M,2,0,11.5,"11,6",23,8,29,9,29.03225806,2,Control,-2.657759774,1,1,1,,,22,60,,,,9.8249998,7,0.073829189,38.337524,0.61441028,1.9594947,,,,,,,,,
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Roberts School,M,2,0,12.46388889,"12,5",28,7,23,14,58.33333333,2,Control,-7.271595887,1,1,1,,,24,66,,,,12.463889,,0.23577769,60.394714,-0.35649154,0.92779052,-0.039813787,0.080265611,,0.88690472,0.79761904,141,133,137,-349
3,1,0,6,3,3,1.8505,WindowsLaptop,7,No,0,3,3,,2.194571429,,0,0.344071429,,,,,,,,,,,,,,,,12,66.66666667,1957.611111,706.5170693,1957.611111,2032.25,6,9.343333333,4,4.7315,4,6.855,4,2.088,-0.212571429,5.087333333,0.281799052,-0.469,4.2,0.902311558,Trevor Roberts School,M,2,0,12.68888889,"12,8",28,7,23,14,58.33333333,2,Control,-7.271595887,1,1,1,39,63,26,75,138,133,99,12.463889,,0.23795211,215.83337,0.40183941,0.36275613,,0.093167126,-1.0586104,0.95833331,0.91666669,141,141,141,-31
3,2,1,,3,3,3.054295,Win32,,Yes,1,,,0.960675,,1,,,0.960675,,,,,,,,,,,,,,,18,100,1.177592778,0.717371681,1.177592778,1.177592778,6,9.151475694,4,4.557942708,4,5.582682292,4,1.649739583,-0.263020833,5.072048611,0.83489292,1.577473958,-7.3046875,0.88208575,Trevor Roberts School,M,2,0,14.13888889,"14,1",28,7,23,14,58.33333333,2,Control,-7.271595887,1,1,1,,,21,54,,,,12.463889,7,0.48281872,-48.524414,-0.11626664,0.51841623,,,,,,,,,
4,0,0,6,4,2,1.992666667,WindowsLaptop,7,Yes,1,3,3,,0.828857143,,1,-1.163809524,,0.804931949,0.698279453,0.486952212,0.528113843,-0.435024954,-0.862133573,0.812849367,0.685928305,0.486858576,0.586406541,0.443931417,-0.426516064,-0.851631997,-0.142475124,2,11.11111111,1678.944444,2537.971596,1098.058824,6142.5,6,3.956666667,5,2.0085,4,9.8175,2,2.9635,-1.266285714,3.388666667,0.923793053,0.1095,4.27,0.6,Trevor Roberts School,F,1,0,11.83888889,"11,10",12,6,11,1,9.090909091,2,Experimental,-10.06874666,2,2,2,33,55,18,50,105,104,63,11.838889,5,0.43176001,93.596497,1.1524714,0.028908417,0.24271375,0.56363714,-0.013836659,0.95833331,0.88095242,109,114,111.5,-349
