ID_title,ID,Session,Date_Time,Matlab_Age,Trials_T1,Trials_T2,Corr_T1,Miss_T1,Corr_T2,Miss_T2
101,101,0,30-Nov-2019 14:17:33,7,3,2,2,1,2,0
108,108,0,27-Nov-2019 13:41:56,8,2,2,2,0,2,0
111,111,0,02-Dec-2019 17:55:31,8,2,3,2,0,2,1
115,115,0,14-Dec-2019 15:12:53,8,2,2,2,0,2,0
119,119,0,09-Dec-2019 13:00:21,9,3,4,2,1,2,2
124,124,0,11-Dec-2019 13:05:38,9,2,3,2,0,2,1
127,127,0,17-Dec-2019 12:04:46,7,2,2,2,0,2,0
129,129,0,19-Dec-2019 16:21:28,6,0,0,0,0,0,0
134,134,0,05-Feb-2020 15:23:36,9,3,4,2,1,2,2
136,136,0,07-Feb-2020 11:46:52,8,2,2,2,0,2,0
139,139,0,27-Feb-2020 11:56:13,8,2,4,2,0,2,2
141,141,0,11-Jan-2020 11:26:39,7,2,2,2,0,2,0
143,143,0,13-Jan-2020 14:05:00,7,2,2,2,0,2,0
150,150,0,18-Jan-2020 12:07:55,11,2,3,2,0,2,1
152,152,0,24-Jan-2020 13:41:01,11,3,2,2,1,2,0
153,153,0,29-Jan-2020 17:11:45,7,2,2,2,0,2,0
156,156,0,28-Feb-2020 11:37:02,10,2,2,2,0,2,0
15,15,0,04-May-2019 13:24:35,10,2,3,2,0,2,1
160,160,0,22-Jan-2020 14:03:11,8,2,3,2,0,2,1
161,161,0,23-Jan-2020 13:06:24,10,11,5,2,9,2,3
165,165,0,29-Jan-2020 13:34:52,7,2,2,2,0,2,0
168,168,0,19-Feb-2020 12:49:21,9,3,2,2,1,2,0
16,16,0,04-May-2019 17:13:19,7,2,2,2,0,2,0
170,170,0,18-Feb-2020 14:27:31,8,2,2,2,0,2,0
171,171,0,17-Feb-2020 16:53:08,8,3,2,2,1,2,0
172,172,0,18-Feb-2020 11:07:44,7,2,2,2,0,2,0
176,176,0,20-Feb-2020 12:28:13,9,4,2,2,2,2,0
177,177,0,20-Feb-2020 13:23:13,7,2,2,2,0,2,0
184,184,0,22-Feb-2020 13:37:23,7,2,4,2,0,2,2
187,187,0,03-Mar-2020 15:53:30,9,2,2,2,0,2,0
188,188,0,04-Mar-2020 12:00:48,6,2,2,2,0,2,0
189,189,0,04-Mar-2020 11:22:13,10,2,2,2,0,2,0
193,193,0,06-Mar-2020 14:30:40,10,2,2,2,0,2,0
195,195,0,11-Mar-2020 11:51:20,10,2,2,2,0,2,0
196,196,0,09-Mar-2020 14:34:46,8,2,2,2,0,2,0
19,19,0,07-May-2019 18:47:20,6,2,3,2,0,2,1
1,1,0,15-Apr-2019 10:33:57,12,2,2,2,0,2,0
20000000,20000000,0,15-Jan-2020 12:16:33,9,2,0,2,0,0,0
202,202,0,03-Mar-2020 14:22:56,11,2,2,2,0,2,0
210,210,0,02-Mar-2020 15:11:49,9,2,2,2,0,2,0
21,21,0,08-May-2019 17:27:31,9,2,2,2,0,2,0
25,25,0,10-May-2019 19:01:48,9,5,5,2,3,2,3
27,27,0,14-May-2019 16:58:48,12,3,2,2,1,2,0
30,30,0,13-May-2019 17:26:53,10,2,3,2,0,2,1
32,32,0,14-May-2019 16:02:36,6,6,3,2,4,2,1
35,35,0,11-Jun-2019 16:30:34,6,2,2,2,0,2,0
41,41,0,06-Aug-2019 13:27:25,6,2,2,2,0,2,0
42,42,0,12-Aug-2019 13:44:14,10,2,2,2,0,2,0
456,456,0,07-Nov-2019 11:43:37,9,3,0,2,1,0,0
45,45,0,16-Aug-2019 15:09:34,7,2,0,2,0,0,0
46,46,0,19-Aug-2019 12:54:43,10,2,2,2,0,2,0
49,49,0,21-Aug-2019 14:48:55,7,3,2,2,1,2,0
4,4,0,18-Apr-2019 12:14:25,11,2,2,2,0,2,0
59,59,0,02-Sep-2019 14:07:19,7,3,2,2,1,2,0
5,5,0,23-Apr-2019 10:40:29,7,2,2,2,0,2,0
6000000000,6000000000,0,15-Jan-2020 16:09:51,9,2,2,2,0,2,0
61,61,0,04-Sep-2019 12:13:23,9,6,2,2,4,2,0
62,62,0,04-Sep-2019 13:34:22,9,3,2,2,1,2,0
65,65,0,23-Sep-2019 19:06:31,10,3,2,2,1,2,0
67,67,0,27-Sep-2019 13:03:02,10,3,3,2,1,2,1
73,73,0,10-Oct-2019 13:39:07,10,4,2,2,2,2,0
77,077,0,21-Oct-2019 13:40:45,6,0,0,0,0,0,0
79,79,0,24-Oct-2019 12:38:10,10,2,2,2,0,2,0
83,83,0,31-Oct-2019 14:01:11,7,3,5,2,1,2,3
84,84,0,01-Nov-2019 13:45:11,10,2,2,2,0,2,0
86,86,0,29-Oct-2019 14:25:26,9,2,2,2,0,2,0
89,89,0,28-Oct-2019 15:13:30,9,3,3,2,1,2,1
8,8,0,25-Apr-2019 17:23:25,6,2,2,2,0,2,0
902,902,0,09-Apr-2019 16:55:03,21,2,2,2,0,2,0
91,91,0,07-Nov-2019 13:32:31,9,4,2,2,2,2,0
950,950,0,08-Apr-2019 16:20:06,10,2,0,2,0,0,0
97,97,0,15-Nov-2019 15:40:28,7,2,3,2,0,2,1
99,99,0,18-Nov-2019 13:42:39,9,2,2,2,0,2,0
